简历ID,应聘岗位,所属部门,招聘渠道,简历投递时间,简历筛选结果,筛选完成时间,一面时间,一面面试官,一面结果,二面时间,二面面试官,二面结果,终面时间,终面面试官,终面结果,Offer发放时间,候选人期望薪资,Offer定薪,是否接受Offer,入职时间,是否到岗
RES01401,产品运营,运营部,内部推荐,2025-02-25,通过,2025-02-28,2025-03-03,王晨,通过,2025-03-11,张成,通过,2025-03-15,张东,通过,2025-03-22,9k,9312.0,是,2025-04-04,试用期离职
RES01402,前端开发工程师,技术部,BOSS直聘,2024-03-01,不通过,,,,,,,,,,,,,,,,否
RES01403,Java开发工程师,技术部,BOSS直聘,2024-10-10,通过,2024-10-11,2024-10-13,吕建军,通过,2024-10-22,钱丹,通过,2024-10-29,宋婷婷,通过,2024-10-29,27k,25648.0,是,2024-12-09,是
RES01404,产品经理,产品部,智联招聘,2024-05-09,不通过,,,,,,,,,,,,,,,,否
RES01405,产品经理,产品部,BOSS直聘,2024-05-15,通过,2024-05-16,2024-05-23,王雪,通过,2024-05-27,李艳,通过,2024-06-04,王萍,通过,2024-06-08,20k,19119.0,是,2024-07-02,是
RES01406,销售代表,销售部,猎聘,2024-09-12,不通过,,,,,,,,,,,,,,,,否
RES01407,Java开发工程师,技术部,智联招聘,2024-05-29,通过,2024-06-03,2024-06-04,邱桂荣,通过,2024-06-12,黄峰,通过,2024-06-11,郑文,不通过,,,,,,否
RES01408,财务会计,财务部,BOSS直聘,2024-11-25,不通过,,,,,,,,,,,,,,,,否
RES01409,Java开发工程师,技术部,BOSS直聘,2024-09-10,不通过,,,,,,,,,,,,,,,,否
RES01410,产品运营,运营部,猎聘,2025-02-06,通过,2025-02-10,2025-02-11,杨建,通过,2025-02-16,艾成,通过,2025-02-22,蒋帆,通过,2025-03-01,19k,20911.0,是,2025-03-30,是
RES01411,HRBP,人事部,内部推荐,2025-05-16,通过,2025-05-20,2025-05-19,张晨,通过,2025-05-27,毕琳,通过,2025-05-30,万璐,通过,2025-06-04,9k,10354.0,是,2025-07-07,是
RES01412,Java开发工程师,技术部,智联招聘,2024-05-25,不通过,,,,,,,,,,,,,,,,否
RES01413,财务会计,财务部,前程无忧,2024-10-02,不通过,,,,,,,,,,,,,,,,否
RES01414,市场推广,市场部,BOSS直聘,2025-02-28,不通过,,,,,,,,,,,,,,,,否
RES01415,财务会计,财务部,前程无忧,2025-01-19,不通过,,,,,,,,,,,,,,,,否
RES01416,产品经理,产品部,BOSS直聘,2025-04-07,通过,2025-04-11,2025-04-16,孟娟,不通过,,,,,,,,,,,,否
RES01417,产品运营,运营部,前程无忧,2024-03-18,不通过,,,,,,,,,,,,,,,,否
RES01418,HRBP,人事部,猎聘,2024-04-05,通过,2024-04-07,2024-04-11,王红霞,通过,2024-04-12,石岩,通过,2024-04-25,陈平,不通过,,,,,,否
RES01419,数据分析师,产品部,校园招聘,2025-02-16,不通过,,,,,,,,,,,,,,,,否
RES01420,财务会计,财务部,智联招聘,2025-06-11,不通过,,,,,,,,,,,,,,,,否
RES01421,产品运营,运营部,内部推荐,2024-10-11,通过,2024-10-14,2024-10-18,李颖,不通过,,,,,,,,,,,,否
RES01422,市场推广,市场部,前程无忧,2025-01-12,不通过,,,,,,,,,,,,,,,,否
RES01423,数据分析师,产品部,校园招聘,2025-04-10,通过,2025-04-11,2025-04-13,沈涛,不通过,,,,,,,,,,,,否
RES01424,客服主管,客服部,智联招聘,2025-05-14,不通过,,,,,,,,,,,,,,,,否
RES01425,客服主管,客服部,智联招聘,2024-12-01,不通过,,,,,,,,,,,,,,,,否
RES01426,客服主管,客服部,校园招聘,2024-01-03,不通过,,,,,,,,,,,,,,,,否
RES01427,测试工程师,技术部,BOSS直聘,2024-04-05,通过,2024-04-06,2024-04-11,罗兰英,通过,2024-04-12,刘辉,通过,2024-04-22,程桂荣,通过,2024-04-25,10k,11684.0,否,,否
RES01428,市场推广,市场部,BOSS直聘,2025-04-14,通过,2025-04-16,2025-04-21,胡涛,通过,2025-04-21,林勇,通过,2025-04-26,钱春梅,通过,2025-05-04,15k,15884.0,是,2025-05-22,试用期离职
RES01429,HRBP,人事部,BOSS直聘,2025-01-01,不通过,,,,,,,,,,,,,,,,否
RES01430,前端开发工程师,技术部,内部推荐,2024-03-05,不通过,,,,,,,,,,,,,,,,否
RES01431,前端开发工程师,技术部,BOSS直聘,2025-02-11,不通过,,,,,,,,,,,,,,,,否
RES01432,数据分析师,产品部,校园招聘,2024-08-11,不通过,,,,,,,,,,,,,,,,否
RES01433,产品运营,运营部,智联招聘,2025-03-15,通过,2025-03-19,2025-03-21,陈丽华,不通过,,,,,,,,,,,,否
RES01434,客服主管,客服部,BOSS直聘,2024-08-04,不通过,,,,,,,,,,,,,,,,否
RES01435,产品经理,产品部,智联招聘,2025-05-21,通过,2025-05-24,2025-05-30,罗欢,通过,2025-05-31,熊红,通过,2025-06-08,黄俊,不通过,,,,,,否
RES01436,HRBP,人事部,BOSS直聘,2024-10-01,不通过,,,,,,,,,,,,,,,,否
RES01437,前端开发工程师,技术部,前程无忧,2024-11-26,不通过,,,,,,,,,,,,,,,,否
RES01438,Java开发工程师,技术部,猎聘,2024-10-17,通过,2024-10-19,2024-10-22,李秀华,通过,2024-10-31,孙丽华,通过,2024-10-31,文勇,不通过,,,,,,否
RES01439,测试工程师,技术部,前程无忧,2024-12-11,不通过,,,,,,,,,,,,,,,,否
RES01440,销售代表,销售部,BOSS直聘,2024-05-13,通过,2024-05-15,2024-05-19,刘玲,不通过,,,,,,,,,,,,否
RES01441,行政专员,人事部,猎聘,2025-05-11,通过,2025-05-12,2025-05-21,杜英,通过,2025-05-24,李斌,不通过,,,,,,,,,否
RES01442,市场推广,市场部,内部推荐,2024-12-17,通过,2024-12-22,2024-12-20,李想,通过,2024-12-30,李兰英,通过,2024-12-30,李宇,通过,2025-01-01,33k,35198.0,否,,否
RES01443,市场推广,市场部,猎聘,2024-02-19,通过,2024-02-20,2024-02-22,李刚,通过,2024-02-26,余志强,不通过,,,,,,,,,否
RES01444,前端开发工程师,技术部,内部推荐,2024-02-17,不通过,,,,,,,,,,,,,,,,否
RES01445,市场推广,市场部,BOSS直聘,2024-04-11,通过,2024-04-14,2024-04-17,吴秀荣,通过,2024-04-25,刘阳,通过,2024-04-27,袁莉,不通过,,,,,,否
RES01446,客服主管,客服部,校园招聘,2025-04-15,不通过,,,,,,,,,,,,,,,,否
RES01447,测试工程师,技术部,智联招聘,2024-01-17,通过,2024-01-18,2024-01-21,彭倩,不通过,,,,,,,,,,,,否
RES01448,行政专员,人事部,BOSS直聘,2024-05-07,通过,2024-05-08,2024-05-14,崔桂花,通过,2024-05-20,胡丹,通过,2024-05-22,汤海燕,通过,2024-05-22,15k,15202.0,是,2024-06-26,是
RES01449,产品经理,产品部,内部推荐,2024-06-10,不通过,,,,,,,,,,,,,,,,否
RES01450,Java开发工程师,技术部,校园招聘,2025-03-27,不通过,,,,,,,,,,,,,,,,否
RES01451,产品运营,运营部,猎聘,2025-04-12,不通过,,,,,,,,,,,,,,,,否
RES01452,行政专员,人事部,BOSS直聘,2024-01-01,不通过,,,,,,,,,,,,,,,,否
RES01453,产品经理,产品部,BOSS直聘,2025-03-14,不通过,,,,,,,,,,,,,,,,否
RES01454,市场推广,市场部,智联招聘,2024-07-26,不通过,,,,,,,,,,,,,,,,否
RES01455,测试工程师,技术部,校园招聘,2024-05-15,不通过,,,,,,,,,,,,,,,,否
RES01456,前端开发工程师,技术部,BOSS直聘,2024-11-05,通过,2024-11-08,2024-11-13,李敏,通过,2024-11-13,刘杨,通过,2024-11-19,江文,不通过,,,,,,否
RES01457,财务会计,财务部,内部推荐,2024-06-11,通过,2024-06-16,2024-06-16,王欢,通过,2024-06-20,黄军,通过,2024-06-27,杨利,不通过,,,,,,否
RES01458,产品运营,运营部,BOSS直聘,2024-10-07,不通过,,,,,,,,,,,,,,,,否
RES01459,HRBP,人事部,内部推荐,2024-04-05,通过,2024-04-06,2024-04-15,李磊,通过,2024-04-16,刘平,通过,2024-04-18,赵兵,通过,2024-04-20,12k,13585.0,是,2024-05-09,是
RES01460,销售代表,销售部,校园招聘,2025-01-04,不通过,,,,,,,,,,,,,,,,否
RES01461,前端开发工程师,技术部,智联招聘,2024-09-13,不通过,,,,,,,,,,,,,,,,否
RES01462,市场推广,市场部,智联招聘,2024-03-25,不通过,,,,,,,,,,,,,,,,否
RES01463,前端开发工程师,技术部,内部推荐,2025-01-15,通过,2025-01-20,2025-01-22,李英,通过,2025-01-27,蒋秀华,通过,2025-01-29,谌晶,不通过,,,,,,否
RES01464,客服主管,客服部,前程无忧,2024-06-18,不通过,,,,,,,,,,,,,,,,否
RES01465,数据分析师,产品部,猎聘,2024-02-23,通过,2024-02-27,2024-03-03,林帆,通过,2024-03-06,宋楠,通过,2024-03-09,吴云,通过,2024-03-15,21k,21932.0,是,2024-04-08,是
RES01466,市场推广,市场部,前程无忧,2025-02-09,不通过,,,,,,,,,,,,,,,,否
RES01467,前端开发工程师,技术部,BOSS直聘,2024-11-08,不通过,,,,,,,,,,,,,,,,否
RES01468,行政专员,人事部,内部推荐,2024-08-27,通过,2024-08-31,2024-09-02,杨凯,通过,2024-09-06,王玉兰,通过,2024-09-11,胡婷,通过,2024-09-11,19k,20107.0,否,,否
RES01469,行政专员,人事部,BOSS直聘,2025-03-15,不通过,,,,,,,,,,,,,,,,否
RES01470,Java开发工程师,技术部,校园招聘,2024-04-03,通过,2024-04-06,2024-04-08,赵桂兰,通过,2024-04-12,姚丹丹,通过,2024-04-23,梁秀珍,不通过,,,,,,否
RES01471,Java开发工程师,技术部,BOSS直聘,2024-04-07,不通过,,,,,,,,,,,,,,,,否
RES01472,产品运营,运营部,内部推荐,2024-01-02,不通过,,,,,,,,,,,,,,,,否
RES01473,前端开发工程师,技术部,BOSS直聘,2024-08-06,通过,2024-08-08,2024-08-11,陈雪,通过,2024-08-15,刘明,通过,2024-08-18,赵平,通过,2024-08-27,20k,18379.0,是,2024-09-23,是
RES01474,测试工程师,技术部,智联招聘,2025-05-03,不通过,,,,,,,,,,,,,,,,否
RES01475,Java开发工程师,技术部,智联招聘,2024-03-20,不通过,,,,,,,,,,,,,,,,否
RES01476,客服主管,客服部,内部推荐,2024-05-15,通过,2024-05-18,2024-05-21,龙凤英,通过,2024-05-28,朱晶,通过,2024-05-29,陈凯,通过,2024-06-06,32k,30034.0,是,2024-07-14,是
RES01477,产品经理,产品部,前程无忧,2024-08-19,不通过,,,,,,,,,,,,,,,,否
RES01478,Java开发工程师,技术部,校园招聘,2025-06-15,不通过,,,,,,,,,,,,,,,,否
RES01479,前端开发工程师,技术部,智联招聘,2025-03-31,不通过,,,,,,,,,,,,,,,,否
RES01480,行政专员,人事部,猎聘,2024-01-10,不通过,,,,,,,,,,,,,,,,否
RES01481,销售代表,销售部,内部推荐,2024-01-09,通过,2024-01-11,2024-01-12,田桂珍,通过,2024-01-18,曹波,通过,2024-01-21,王洋,通过,2024-01-30,21k,22668.0,否,,否
RES01482,数据分析师,产品部,BOSS直聘,2024-12-17,不通过,,,,,,,,,,,,,,,,否
RES01483,财务会计,财务部,智联招聘,2024-05-03,不通过,,,,,,,,,,,,,,,,否
RES01484,HRBP,人事部,前程无忧,2025-03-08,不通过,,,,,,,,,,,,,,,,否
RES01485,Java开发工程师,技术部,智联招聘,2024-05-15,不通过,,,,,,,,,,,,,,,,否
RES01486,HRBP,人事部,智联招聘,2025-05-04,不通过,,,,,,,,,,,,,,,,否
RES01487,数据分析师,产品部,猎聘,2024-03-13,不通过,,,,,,,,,,,,,,,,否
RES01488,财务会计,财务部,BOSS直聘,2024-08-22,通过,2024-08-23,2024-08-28,李斌,通过,2024-08-29,祝桂香,通过,2024-09-05,陈春梅,通过,2024-09-14,27k,29728.0,否,,否
RES01489,产品运营,运营部,猎聘,2025-01-27,不通过,,,,,,,,,,,,,,,,否
RES01490,行政专员,人事部,校园招聘,2024-04-01,不通过,,,,,,,,,,,,,,,,否
RES01491,行政专员,人事部,前程无忧,2024-04-14,不通过,,,,,,,,,,,,,,,,否
RES01492,财务会计,财务部,前程无忧,2024-04-15,不通过,,,,,,,,,,,,,,,,否
RES01493,数据分析师,产品部,BOSS直聘,2024-11-16,通过,2024-11-19,2024-11-23,黄瑜,通过,2024-11-24,刘想,通过,2024-12-03,张亮,通过,2024-12-01,15k,15157.0,是,2024-12-18,是
RES01494,前端开发工程师,技术部,校园招聘,2025-01-11,通过,2025-01-14,2025-01-17,郭博,通过,2025-01-18,徐桂香,不通过,,,,,,,,,否
RES01495,HRBP,人事部,BOSS直聘,2024-11-02,通过,2024-11-03,2024-11-05,丛刚,候选人放弃,,,,,,,,,,,,否
RES01496,HRBP,人事部,前程无忧,2024-05-20,不通过,,,,,,,,,,,,,,,,否
RES01497,测试工程师,技术部,猎头,2025-01-26,不通过,,,,,,,,,,,,,,,,否
RES01498,测试工程师,技术部,前程无忧,2024-05-16,通过,2024-05-19,2024-05-23,董雪梅,通过,2024-05-28,沙建军,通过,2024-06-03,李秀兰,不通过,,,,,,否
RES01499,财务会计,财务部,猎聘,2024-05-26,不通过,,,,,,,,,,,,,,,,否
RES01500,HRBP,人事部,智联招聘,2024-03-11,不通过,,,,,,,,,,,,,,,,否
RES01501,前端开发工程师,技术部,BOSS直聘,2025-06-27,不通过,,,,,,,,,,,,,,,,否
RES01502,行政专员,人事部,内部推荐,2024-01-09,通过,2024-01-11,2024-01-17,王娟,通过,2024-01-24,张华,通过,2024-01-23,朱伟,通过,2024-01-24,27k,28852.0,是,2024-03-06,是
RES01503,产品运营,运营部,BOSS直聘,2024-06-17,通过,2024-06-19,2024-06-21,汪林,通过,2024-06-27,李莹,不通过,,,,,,,,,否
RES01504,客服主管,客服部,猎聘,2025-03-26,不通过,,,,,,,,,,,,,,,,否
RES01505,行政专员,人事部,BOSS直聘,2024-12-25,不通过,,,,,,,,,,,,,,,,否
RES01506,产品经理,产品部,校园招聘,2024-08-06,不通过,,,,,,,,,,,,,,,,否
RES01507,产品经理,产品部,BOSS直聘,2024-06-04,不通过,,,,,,,,,,,,,,,,否
RES01508,行政专员,人事部,前程无忧,2025年02月25日,通过,2025-03-02,2025-03-05,叶旭,候选人放弃,,,,,,,,,,,,否
RES01509,前端开发工程师,技术部,前程无忧,2025-03-29,不通过,,,,,,,,,,,,,,,,否
RES01510,客服主管,客服部,智联招聘,2024-08-10,通过,2024-08-13,2024-08-19,聂志强,通过,2024-08-23,张波,通过,2024-08-23,刘利,通过,2024-08-27,26k,27255.0,是,2024-10-04,是
RES01511,产品运营,运营部,智联招聘,2024-03-29,不通过,,,,,,,,,,,,,,,,否
RES01512,HRBP,人事部,智联招聘,2024-04-12,不通过,,,,,,,,,,,,,,,,否
RES01513,产品经理,产品部,智联招聘,2024-05-23,不通过,,,,,,,,,,,,,,,,否
RES01514,产品经理,产品部,智联招聘,2024-05-06,不通过,,,,,,,,,,,,,,,,否
RES01515,产品经理,产品部,智联招聘,2025-01-28,不通过,,,,,,,,,,,,,,,,否
RES01516,数据分析师,产品部,前程无忧,2024-12-25,不通过,,,,,,,,,,,,,,,,否
RES01517,市场推广,市场部,BOSS直聘,2025-03-15,不通过,,,,,,,,,,,,,,,,否
RES01518,测试工程师,技术部,猎头,2024-11-18,通过,2024-11-21,2024-11-25,黄宁,通过,2024-11-30,孙欣,通过,2024-12-02,夏淑英,通过,2024-12-10,16k,18051.0,否,,否
RES01519,测试工程师,技术部,前程无忧,2024-05-23,不通过,,,,,,,,,,,,,,,,否
RES01520,前端开发工程师,技术部,BOSS直聘,2024-09-10,不通过,,,,,,,,,,,,,,,,否
RES01521,行政专员,人事部,智联招聘,2024-10-10,不通过,,,,,,,,,,,,,,,,否
RES01522,客服主管,客服部,校园招聘,2024-03-27,不通过,,,,,,,,,,,,,,,,否
RES01523,行政专员,人事部,BOSS直聘,2024-09-11,不通过,,,,,,,,,,,,,,,,否
RES01524,市场推广,市场部,猎聘,2024-10-18,不通过,,,,,,,,,,,,,,,,否
RES01525,产品经理,产品部,前程无忧,2024-01-28,不通过,,,,,,,,,,,,,,,,否
RES01526,财务会计,财务部,BOSS直聘,2024-11-04,通过,2024-11-08,2024-11-09,黄凤英,候选人放弃,,,,,,,,,,,,否
RES01527,数据分析师,产品部,内部推荐,2024-07-29,通过,2024-08-03,2024-08-06,王云,不通过,,,,,,,,,,,,否
RES01528,市场推广,市场部,智联招聘,2025-06-14,通过,2025-06-18,2025-06-17,邵晶,不通过,,,,,,,,,,,,否
RES01529,前端开发工程师,技术部,BOSS直聘,2025-06-05,不通过,,,,,,,,,,,,,,,,否
RES01530,产品运营,运营部,内部推荐,2024-07-12,不通过,,,,,,,,,,,,,,,,否
RES01531,测试工程师,技术部,猎聘,2025-02-05,不通过,,,,,,,,,,,,,,,,否
RES01532,HRBP,人事部,校园招聘,2024-10-29,不通过,,,,,,,,,,,,,,,,否
RES01533,数据分析师,产品部,前程无忧,2024-02-25,不通过,,,,,,,,,,,,,,,,否
RES01534,销售代表,销售部,内部推荐,2024-09-02,通过,2024-09-03,2024-09-07,陈亮,通过,2024-09-10,王丽华,通过,2024-09-21,段芳,通过,2024-09-27,11k,10728.0,是,2024-10-19,是
RES01535,客服主管,客服部,内部推荐,2025-05-21,通过,2025-05-22,2025-05-25,吴杰,通过,2025-06-03,戚秀兰,不通过,,,,,,,,,否
RES01536,市场推广,市场部,BOSS直聘,2025-01-30,不通过,,,,,,,,,,,,,,,,否
RES01537,产品运营,运营部,内部推荐,2024-04-25,通过,2024-04-28,2024-05-03,宋凤英,通过,2024-05-09,陶博,不通过,,,,,,,,,否
RES01538,销售代表,销售部,前程无忧,2024-09-03,通过,2024-09-07,2024-09-13,谷凤兰,通过,2024-09-12,鹿涛,通过,2024-09-17,杨莹,不通过,,,,,,否
RES01539,产品运营,运营部,BOSS直聘,2025-05-26,不通过,,,,,,,,,,,,,,,,否
RES01540,行政专员,人事部,前程无忧,2024-03-13,不通过,,,,,,,,,,,,,,,,否
RES01541,行政专员,人事部,BOSS直聘,2025-06-24,通过,2025-06-29,2025-07-02,周静,通过,2025-07-08,马玉梅,不通过,,,,,,,,,否
RES01542,产品经理,产品部,内部推荐,2024-01-13,通过,2024-01-15,2024-01-22,倪霞,候选人放弃,,,,,,,,,,,,否
RES01543,Java开发工程师,技术部,前程无忧,2025-01-04,通过,2025-01-06,2025-01-08,许丹,通过,2025-01-12,陈琴,通过,2025-01-23,郑婷,通过,2025-01-25,25k,23754.0,否,,否
RES01544,HRBP,人事部,猎头,2024-11-20,通过,2024-11-21,2024-11-29,王梅,通过,2024-12-01,刘娟,通过,2024-12-07,周秀华,通过,2024-12-11,23k,23664.0,是,2024-12-25,试用期离职
RES01545,前端开发工程师,技术部,BOSS直聘,2024-05-15,不通过,,,,,,,,,,,,,,,,否
RES01546,前端开发工程师,技术部,前程无忧,2025-01-31,不通过,,,,,,,,,,,,,,,,否
RES01547,产品经理,产品部,BOSS直聘,2025-03-06,不通过,,,,,,,,,,,,,,,,否
RES01548,行政专员,人事部,前程无忧,2025-01-09,不通过,,,,,,,,,,,,,,,,否
RES01549,产品经理,产品部,猎聘,2024-06-25,不通过,,,,,,,,,,,,,,,,否
RES01550,财务会计,财务部,猎聘,2025-04-27,不通过,,,,,,,,,,,,,,,,否
RES01551,市场推广,市场部,内部推荐,2024-03-15,通过,2024-03-20,2024-03-23,李慧,通过,2024-03-27,乐欣,通过,2024-04-03,胡桂英,通过,2024-04-01,24k,26140.0,是,2024-05-05,是
RES01552,市场推广,市场部,校园招聘,2024-01-18,不通过,,,,,,,,,,,,,,,,否
RES01553,客服主管,客服部,BOSS直聘,2024-03-10,通过,2024-03-14,2024-03-20,逯雪,通过,2024-03-18,赵文,不通过,,,,,,,,,否
RES01554,行政专员,人事部,智联招聘,2024-01-15,通过,2024-01-17,2024-01-20,罗淑珍,通过,2024-01-25,钟婷,不通过,,,,,,,,,否
RES01555,Java开发工程师,技术部,猎聘,2024-09-25,通过,2024-09-27,2024-09-28,张秀华,候选人放弃,,,,,,,,,,,,否
RES01556,财务会计,财务部,前程无忧,2024-08-08,不通过,,,,,,,,,,,,,,,,否
RES01557,财务会计,财务部,BOSS直聘,2024-02-10,不通过,,,,,,,,,,,,,,,,否
RES01558,行政专员,人事部,前程无忧,2024-03-02,不通过,,,,,,,,,,,,,,,,否
RES01559,市场推广,市场部,智联招聘,2025-02-11,不通过,,,,,,,,,,,,,,,,否
RES01560,销售代表,销售部,智联招聘,2025-06-02,不通过,,,,,,,,,,,,,,,,否
RES01561,市场推广,市场部,内部推荐,2024-10-20,通过,2024-10-24,2024-10-30,海帅,通过,2024-11-01,萧丽娟,通过,2024-11-09,张凤英,通过,2024-11-10,25k,27526.0,是,2024-12-18,是
RES01562,客服主管,客服部,智联招聘,2025-05-28,不通过,,,,,,,,,,,,,,,,否
RES01563,客服主管,客服部,BOSS直聘,2025-03-01,通过,2025-03-06,2025-03-10,武冬梅,通过,2025-03-14,路小红,通过,2025-03-14,王娟,通过,2025-03-17,34k,36729.0,是,2025-03-31,是
RES01564,行政专员,人事部,BOSS直聘,2025-03-09,不通过,,,,,,,,,,,,,,,,否
RES01565,HRBP,人事部,校园招聘,2025-02-15,不通过,,,,,,,,,,,,,,,,否
RES01566,HRBP,人事部,猎头,2024-03-25,不通过,,,,,,,,,,,,,,,,否
RES01567,Java开发工程师,技术部,猎聘,2024-06-05,不通过,,,,,,,,,,,,,,,,否
RES01568,HRBP,人事部,智联招聘,2024-10-11,通过,2024-10-15,2024-10-18,马云,通过,2024-10-21,朱秀荣,不通过,,,,,,,,,否
RES01569,产品运营,运营部,校园招聘,2024-03-26,不通过,,,,,,,,,,,,,,,,否
RES01570,产品运营,运营部,猎聘,2024-11-13,不通过,,,,,,,,,,,,,,,,否
RES01571,前端开发工程师,技术部,内部推荐,2024-03-21,通过,2024-03-23,2024-03-29,胡玲,通过,2024-04-04,李志强,不通过,,,,,,,,,否
RES01572,数据分析师,产品部,内部推荐,2025-06-07,通过,2025-06-11,2025-06-15,谭建华,通过,2025-06-22,陈桂芳,不通过,,,,,,,,,否
RES01573,产品运营,运营部,智联招聘,2024-07-27,不通过,,,,,,,,,,,,,,,,否
RES01574,销售代表,销售部,智联招聘,2024-06-08,不通过,,,,,,,,,,,,,,,,否
RES01575,测试工程师,技术部,BOSS直聘,2024-11-30,通过,2024-12-04,2024-12-09,郑霞,通过,2024-12-07,袁玉梅,通过,2024-12-17,郑鹏,通过,2024-12-23,34k,36552.0,是,2025-01-04,试用期离职
RES01576,销售代表,销售部,BOSS直聘,2025-02-04,不通过,,,,,,,,,,,,,,,,否
RES01577,销售代表,销售部,内部推荐,2024-03-08,通过,2024-03-12,2024-03-17,古洁,通过,2024-03-21,郑欣,不通过,,,,,,,,,否
RES01578,产品运营,运营部,校园招聘,2024-11-13,通过,2024-11-17,2024-11-22,欧阳健,通过,2024-11-28,梁玉珍,不通过,,,,,,,,,否
RES01579,Java开发工程师,技术部,猎聘,2025-03-23,通过,2025-03-25,2025-03-28,李柳,通过,2025-04-05,金瑞,通过,2025-04-08,赵小红,不通过,,,,,,否
RES01580,市场推广,市场部,智联招聘,2024-09-01,不通过,,,,,,,,,,,,,,,,否
RES01581,行政专员,人事部,BOSS直聘,2024-02-29,通过,2024-03-03,2024-03-04,汪芳,通过,2024-03-07,陈博,通过,2024-03-14,黄淑英,通过,2024-03-15,28k,29425.0,否,,否
RES01582,产品经理,产品部,BOSS直聘,2024-09-07,通过,2024-09-11,2024-09-12,李帆,通过,2024-09-19,徐玉兰,不通过,,,,,,,,,否
RES01583,前端开发工程师,技术部,智联招聘,2024-03-29,通过,2024-03-31,2024-04-04,陶琴,通过,2024-04-11,蔡成,不通过,,,,,,,,,否
RES01584,客服主管,客服部,智联招聘,2025-03-20,不通过,,,,,,,,,,,,,,,,否
RES01585,财务会计,财务部,前程无忧,2024-04-28,不通过,,,,,,,,,,,,,,,,否
RES01586,客服主管,客服部,BOSS直聘,2025-04-09,通过,2025-04-11,2025-04-13,齐波,候选人放弃,,,,,,,,,,,,否
RES01587,前端开发工程师,技术部,猎头,2024-02-26,通过,2024-03-02,2024-03-02,黄秀芳,通过,2024-03-06,邱帅,通过,2024-03-16,梁利,通过,2024-03-17,14k,14490.0,是,2024-03-27,是
RES01588,客服主管,客服部,智联招聘,2024-11-12,不通过,,,,,,,,,,,,,,,,否
RES01589,市场推广,市场部,内部推荐,2024-06-28,不通过,,,,,,,,,,,,,,,,否
RES01590,客服主管,客服部,前程无忧,2024-05-02,通过,2024-05-06,2024-05-10,戴莹,通过,2024-05-16,颜兵,不通过,,,,,,,,,否
RES01591,数据分析师,产品部,BOSS直聘,2024-01-13,不通过,,,,,,,,,,,,,,,,否
RES01592,客服主管,客服部,内部推荐,2024-05-20,通过,2024-05-21,2024-05-23,贺岩,候选人放弃,,,,,,,,,,,,否
RES01593,市场推广,市场部,猎聘,2024-01-12,通过,2024-01-15,2024-01-15,姜刚,不通过,,,,,,,,,,,,否
RES01594,市场推广,市场部,前程无忧,2024-06-16,通过,2024-06-19,2024-06-19,徐勇,通过,2024-07-01,王秀荣,通过,2024-06-30,傅鑫,通过,2024-07-04,19k,18418.0,是,2024-07-26,是
RES01595,产品运营,运营部,前程无忧,2025-05-23,通过,2025-05-25,2025-06-02,李雷,通过,2025-05-31,黄荣,通过,2025-06-12,柳丽华,通过,2025-06-17,17k,17527.0,否,,否
RES01596,市场推广,市场部,BOSS直聘,2024-12-21,不通过,,,,,,,,,,,,,,,,否
RES01597,产品经理,产品部,猎聘,2025-06-19,不通过,,,,,,,,,,,,,,,,否
RES01598,HRBP,人事部,校园招聘,2025-06-13,不通过,,,,,,,,,,,,,,,,否
RES01599,产品经理,产品部,BOSS直聘,2024-09-22,通过,2024-09-24,2024-09-29,尤敏,候选人放弃,,,,,,,,,,,,否
RES01600,数据分析师,产品部,BOSS直聘,2024-06-19,不通过,,,,,,,,,,,,,,,,否
RES01601,客服主管,客服部,校园招聘,2025-01-15,通过,2025-01-20,2025-01-21,罗红,通过,2025-01-29,彭玉珍,不通过,,,,,,,,,否
RES01602,产品经理,产品部,BOSS直聘,2024-05-09,不通过,,,,,,,,,,,,,,,,否
RES01603,前端开发工程师,技术部,猎聘,2024-10-02,不通过,,,,,,,,,,,,,,,,否
RES01604,行政专员,人事部,前程无忧,2024-04-30,不通过,,,,,,,,,,,,,,,,否
RES01605,HRBP,人事部,前程无忧,2024-01-31,通过,2024-02-03,2024-02-09,陈红梅,候选人放弃,,,,,,,,,,,,否
RES01606,行政专员,人事部,智联招聘,2024-12-09,不通过,,,,,,,,,,,,,,,,否
RES01607,财务会计,财务部,BOSS直聘,2025-03-15,不通过,,,,,,,,,,,,,,,,否
RES01608,产品经理,产品部,BOSS直聘,2024-10-05,不通过,,,,,,,,,,,,,,,,否
RES01609,行政专员,人事部,内部推荐,2025-06-20,不通过,,,,,,,,,,,,,,,,否
RES01610,市场推广,市场部,内部推荐,2024-03-06,通过,2024-03-08,2024-03-13,张秀荣,候选人放弃,,,,,,,,,,,,否
RES01611,Java开发工程师,技术部,猎聘,2024-09-26,不通过,,,,,,,,,,,,,,,,否
RES01612,Java开发工程师,技术部,猎聘,2024-03-19,通过,2024-03-24,2024-03-22,陈玉珍,通过,2024-03-31,杨雷,通过,2024-04-02,康晨,通过,2024-04-08,16k,14667.0,是,2024-04-29,是
RES01613,市场推广,市场部,BOSS直聘,2025-05-23,通过,2025-05-24,2025-05-26,万瑞,通过,2025-06-02,钟伟,不通过,,,,,,,,,否
RES01614,行政专员,人事部,BOSS直聘,2025-04-11,不通过,,,,,,,,,,,,,,,,否
